frame_number,timestamp,health_index,unhealthy_ratio_percent,health_status
0,2026-01-09 10:29:52.664,50.52,49.48,Moderate
1,2026-01-09 10:29:53.613,50.52,49.48,Moderate
2,2026-01-09 10:29:53.699,50.52,49.48,Moderate
3,2026-01-09 10:29:53.788,50.53,49.47,Moderate
4,2026-01-09 10:29:53.857,50.53,49.47,Moderate
5,2026-01-09 10:29:53.915,50.54,49.46,Moderate
6,2026-01-09 10:29:53.951,50.54,49.46,Moderate
7,2026-01-09 10:29:54.000,50.53,49.47,Moderate
8,2026-01-09 10:29:54.041,50.53,49.47,Moderate
9,2026-01-09 10:29:54.091,50.52,49.48,Moderate
10,2026-01-09 10:29:54.135,50.53,49.47,Moderate
11,2026-01-09 10:29:54.185,50.53,49.47,Moderate
12,2026-01-09 10:29:54.225,50.53,49.47,Moderate
13,2026-01-09 10:29:54.279,50.52,49.48,Moderate
14,2026-01-09 10:29:54.326,50.52,49.48,Moderate
15,2026-01-09 10:29:54.376,50.53,49.47,Moderate
16,2026-01-09 10:29:54.415,50.53,49.47,Moderate
17,2026-01-09 10:29:54.458,50.53,49.47,Moderate
18,2026-01-09 10:29:54.500,50.54,49.46,Moderate
19,2026-01-09 10:29:54.539,50.54,49.46,Moderate
20,2026-01-09 10:29:54.589,50.54,49.46,Moderate
21,2026-01-09 10:29:54.628,50.55,49.45,Moderate
22,2026-01-09 10:29:54.672,50.54,49.46,Moderate
23,2026-01-09 10:29:54.705,50.54,49.46,Moderate
24,2026-01-09 10:29:54.745,50.54,49.46,Moderate
25,2026-01-09 10:29:54.782,50.55,49.45,Moderate
26,2026-01-09 10:29:54.823,50.55,49.45,Moderate
27,2026-01-09 10:29:54.856,50.55,49.45,Moderate
28,2026-01-09 10:29:54.904,50.55,49.45,Moderate
29,2026-01-09 10:29:54.938,50.55,49.45,Moderate
30,2026-01-09 10:29:54.989,50.51,49.49,Moderate
31,2026-01-09 10:29:55.021,50.51,49.49,Moderate
32,2026-01-09 10:29:55.067,50.51,49.49,Moderate
33,2026-01-09 10:29:55.107,50.51,49.49,Moderate
34,2026-01-09 10:29:55.154,50.51,49.49,Moderate
35,2026-01-09 10:29:55.188,50.51,49.49,Moderate
36,2026-01-09 10:29:55.234,50.51,49.49,Moderate
37,2026-01-09 10:29:55.270,50.51,49.49,Moderate
38,2026-01-09 10:29:55.318,50.51,49.49,Moderate
39,2026-01-09 10:29:55.355,50.52,49.48,Moderate
40,2026-01-09 10:29:55.403,50.52,49.48,Moderate
41,2026-01-09 10:29:55.443,50.52,49.48,Moderate
42,2026-01-09 10:29:55.486,50.51,49.49,Moderate
43,2026-01-09 10:29:55.519,50.51,49.49,Moderate
44,2026-01-09 10:29:55.559,50.51,49.49,Moderate
45,2026-01-09 10:29:55.602,50.52,49.48,Moderate
46,2026-01-09 10:29:55.639,50.52,49.48,Moderate
47,2026-01-09 10:29:55.671,50.51,49.49,Moderate
48,2026-01-09 10:29:55.714,50.50,49.50,Moderate
49,2026-01-09 10:29:55.748,50.50,49.50,Moderate
50,2026-01-09 10:29:55.797,50.50,49.50,Moderate
51,2026-01-09 10:29:55.830,50.50,49.50,Moderate
52,2026-01-09 10:29:55.869,50.50,49.50,Moderate
53,2026-01-09 10:29:55.910,50.50,49.50,Moderate
54,2026-01-09 10:29:55.952,50.49,49.51,Moderate
55,2026-01-09 10:29:55.987,50.48,49.52,Moderate
56,2026-01-09 10:29:56.034,50.48,49.52,Moderate
57,2026-01-09 10:29:56.071,50.47,49.53,Moderate
58,2026-01-09 10:29:56.113,50.47,49.53,Moderate
59,2026-01-09 10:29:56.149,50.47,49.53,Moderate
60,2026-01-09 10:29:56.195,50.47,49.53,Moderate
61,2026-01-09 10:29:56.226,50.47,49.53,Moderate
62,2026-01-09 10:29:56.271,50.47,49.53,Moderate
63,2026-01-09 10:29:56.302,50.47,49.53,Moderate
64,2026-01-09 10:29:56.351,50.47,49.53,Moderate
65,2026-01-09 10:29:56.388,50.47,49.53,Moderate
66,2026-01-09 10:29:56.434,50.47,49.53,Moderate
67,2026-01-09 10:29:56.471,50.47,49.53,Moderate
68,2026-01-09 10:29:56.521,50.47,49.53,Moderate
69,2026-01-09 10:29:56.555,50.46,49.54,Moderate
70,2026-01-09 10:29:56.603,50.46,49.54,Moderate
71,2026-01-09 10:29:56.640,50.46,49.54,Moderate
72,2026-01-09 10:29:56.685,50.46,49.54,Moderate
73,2026-01-09 10:29:56.721,50.45,49.55,Moderate
74,2026-01-09 10:29:56.766,50.45,49.55,Moderate
75,2026-01-09 10:29:56.803,50.45,49.55,Moderate
76,2026-01-09 10:29:56.854,50.45,49.55,Moderate
